feature,raw,normalized,category,abs_norm
scaled_ma_50,-0.0018208817318314473,-0.0018208817318314473,ma,0.0018208817318314473
poly_ma_10 volatility_std_20d,-0.001804305270574373,-0.001804305270574373,ma,0.001804305270574373
momentum_5d,-0.00180345060316201,-0.00180345060316201,other,0.00180345060316201
scaled_price_over_ma_50,0.0017979794348615928,0.0017979794348615928,ma,0.0017979794348615928
scaled_ma_100_slope,-0.0017525690149216488,-0.0017525690149216488,ma,0.0017525690149216488
stoch_k,0.0017461315683153051,0.0017461315683153051,other,0.0017461315683153051
poly_return_1d ma_20,-0.001742820831750502,-0.001742820831750502,ma,0.001742820831750502
price_over_ma_5,-0.001725977413141738,-0.001725977413141738,ma,0.001725977413141738
volatility_std_50d,0.0017075385839637218,0.0017075385839637218,other,0.0017075385839637218
return_1d,0.0016859133483856684,0.0016859133483856684,other,0.0016859133483856684
ma_20_slope,0.0016840709431518183,0.0016840709431518183,ma,0.0016840709431518183
poly_volume_ma_10,-0.0016684979456322417,-0.0016684979456322417,ma,0.0016684979456322417
volume_ma_10,0.0016684966438306255,0.0016684966438306255,ma,0.0016684966438306255
scaled_poly_return_5d macd,0.0016174448201756054,0.0016174448201756054,other,0.0016174448201756054
poly_return_5d rsi_14,0.0016109862509180015,0.0016109862509180015,other,0.0016109862509180015
return_3d,0.0015873771358909032,0.0015873771358909032,other,0.0015873771358909032
scaled_macd,0.0015637362636909656,0.0015637362636909656,other,0.0015637362636909656
poly_ma_20 volatility_std_20d,0.0015252865401099063,0.0015252865401099063,ma,0.0015252865401099063
scaled_atr_14,-0.0014590438940692734,-0.0014590438940692734,other,0.0014590438940692734
scaled_lag_return_5d,0.0014542076134597087,0.0014542076134597087,other,0.0014542076134597087
scaled_poly_return_1d return_5d,0.0014477512886806557,0.0014477512886806557,other,0.0014477512886806557
scaled_rsi_14,-0.001435697398115444,-0.001435697398115444,other,0.001435697398115444
volume_over_ma_50,-0.0013995651576002863,-0.0013995651576002863,ma,0.0013995651576002863
rolling_cum_return_20d,-0.0013851567070558833,-0.0013851567070558833,other,0.0013851567070558833
scaled_volatility_std_20d,0.0013761416141707182,0.0013761416141707182,other,0.0013761416141707182
scaled_ma_100,-0.001370701833130185,-0.001370701833130185,ma,0.001370701833130185
poly_return_5d ma_10,0.0013680841655633823,0.0013680841655633823,ma,0.0013680841655633823
scaled_return_5d,-0.0013676413140482975,-0.0013676413140482975,other,0.0013676413140482975
scaled_rolling_cum_return_20d,-0.0013503539315663383,-0.0013503539315663383,other,0.0013503539315663383
scaled_poly_volatility_std_20d^2,-0.0013174101743064813,-0.0013174101743064813,other,0.0013174101743064813
scaled_ma_50_slope,0.0012963648930596065,0.0012963648930596065,ma,0.0012963648930596065
